"","Dem_poll","Rep_poll","Undecided","sample_size","mean_days_to_election","start_days_to_election","end_days_to_election","state","year","state_year","pollster","state_year_id","pollster2","year_id","result_margin6","rmargin_year","rmargin_year_id","pollster_grp","pollster_id"
"17",32,48,20,356,43,53,33,"nebraska",2016,"nebraska_2016","Ipsos/Reuters",3,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"18",30,52,4,449,4,7,1,"montana",2016,"montana_2016","SurveyMonkey",4,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"19",36,49,2,405,11,14,8,"montana",2016,"montana_2016","SurveyMonkey",4,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"20",35,52,4,475,18,21,15,"montana",2016,"montana_2016","SurveyMonkey",4,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"21",27,43,20,590,32.5,36,29,"montana",2016,"montana_2016","MSUBillings",4,"MSUBillings",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"22",51,33,3,1451,4,7,1,"washington",2016,"washington_2016","SurveyMonkey",5,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"23",51,36,7,402,3,4,2,"washington",2016,"washington_2016","InsightsWest",5,"InsightsWest",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"24",47,38,15,863,12,22,2,"washington",2016,"washington_2016","Ipsos/Reuters",5,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"25",50,38,4,681,7,8,6,"washington",2016,"washington_2016","SurveyUSA",5,"SurveyUSA",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyUSA",33
"26",53,34,2,745,11,14,8,"washington",2016,"washington_2016","SurveyMonkey",5,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"27",51,34,2,687,18,21,15,"washington",2016,"washington_2016","SurveyMonkey",5,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"28",53,39,22,750,29.5,33,26,"washington",2016,"washington_2016","KCTS9/Crosscut/Washington",5,"UniversityofWashington",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"29",47,37,16,905,36,46,26,"washington",2016,"washington_2016","Ipsos/Reuters",5,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"30",51,33,16,504,43,53,33,"washington",2016,"washington_2016","Ipsos/Reuters",5,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"31",42,50,2,719,4,7,1,"mississippi",2016,"mississippi_2016","SurveyMonkey",6,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"32",36,53,11,388,12,22,2,"mississippi",2016,"mississippi_2016","Ipsos/Reuters",6,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"33",41,48,3,648,11,14,8,"mississippi",2016,"mississippi_2016","SurveyMonkey",6,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"34",42,50,2,704,18,21,15,"mississippi",2016,"mississippi_2016","SurveyMonkey",6,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"35",41,49,10,404,36,46,26,"mississippi",2016,"mississippi_2016","Ipsos/Reuters",6,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"36",40,51,9,405,43,53,33,"mississippi",2016,"mississippi_2016","Ipsos/Reuters",6,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"37",61,25,2,454,4,7,1,"vermont",2016,"vermont_2016","SurveyMonkey",7,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"38",62,33,5,305,5.5,9,2,"vermont",2016,"vermont_2016","UPI/CVOTER",7,"UPI/CVOTER",4,"Strong Rep.","Strong Rep. 2016",12,"UPI/CVOTER",37
"39",53,25,4,436,11,14,8,"vermont",2016,"vermont_2016","SurveyMonkey",7,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"40",63,34,4,304,13,16,10,"vermont",2016,"vermont_2016","UPI/CVOTER",7,"UPI/CVOTER",4,"Strong Rep.","Strong Rep. 2016",12,"UPI/CVOTER",37
"41",54,23,3,446,18,21,15,"vermont",2016,"vermont_2016","SurveyMonkey",7,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"42",45,17,14,579,32.5,40,25,"vermont",2016,"vermont_2016","CastletonUniversity/VPR",7,"CastletonUniversity/VPR",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"43",56,30,4,1378,4,7,1,"massachusetts",2016,"massachusetts_2016","SurveyMonkey",8,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"44",53,36,11,512,12,22,2,"massachusetts",2016,"massachusetts_2016","Ipsos/Reuters",8,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"45",56,26,7,417,11,16,6,"massachusetts",2016,"massachusetts_2016","WNEU",8,"WNEU",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"46",58,29,2,796,11,14,8,"massachusetts",2016,"massachusetts_2016","SurveyMonkey",8,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"47",57,25,12,500,14,15,13,"massachusetts",2016,"massachusetts_2016","Suffolk/BostonGlobe",8,"SuffolkUniversity",4,"Strong Rep.","Strong Rep. 2016",12,"SuffolkUniversity",31
"48",61,28,2,675,18,21,15,"massachusetts",2016,"massachusetts_2016","SurveyMonkey",8,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"49",54,28,6,502,24.5,26,23,"massachusetts",2016,"massachusetts_2016","MassINC/WBUR",8,"MassINC/WBUR",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"50",49,30,21,904,43,53,33,"massachusetts",2016,"massachusetts_2016","Ipsos/Reuters",8,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"51",41,49,2,1433,4,7,1,"tennessee",2016,"tennessee_2016","SurveyMonkey",9,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"52",36,50,14,823,12,22,2,"tennessee",2016,"tennessee_2016","Ipsos/Reuters",9,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"53",38,51,2,550,11,14,8,"tennessee",2016,"tennessee_2016","SurveyMonkey",9,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"54",38,49,4,572,18,21,15,"tennessee",2016,"tennessee_2016","SurveyMonkey",9,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"55",34,44,8,508,23.5,25,22,"tennessee",2016,"tennessee_2016","ICITIZEN",9,"ICITIZEN",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"56",35,47,18,799,36,46,26,"tennessee",2016,"tennessee_2016","Ipsos/Reuters",9,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"57",34,49,17,800,43,53,33,"tennessee",2016,"tennessee_2016","Ipsos/Reuters",9,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"58",38,52,4,982,4,7,1,"louisiana",2016,"louisiana_2016","SurveyMonkey",10,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"59",36,52,12,633,12,22,2,"louisiana",2016,"louisiana_2016","Ipsos/Reuters",10,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"60",38,51,4,423,11,14,8,"louisiana",2016,"louisiana_2016","SurveyMonkey",10,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"61",38,53,1,388,18,21,15,"louisiana",2016,"louisiana_2016","SurveyMonkey",10,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"62",35,50,8,500,19,20,18,"louisiana",2016,"louisiana_2016","SouthernMedia/OpinionResearch",10,"SouthernMedia/OpinionResearch",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"63",40,43,7,614,21,24,18,"louisiana",2016,"louisiana_2016","Lucid/TheTimesPicayune",10,"Lucid/TheTimesPicayune",4,"Strong Dem.","Strong Dem. 2016",8,"Lucid/TheTimesPicayune",15
"64",35,49,6,603,21,24,18,"louisiana",2016,"louisiana_2016","UniversityofNewOrleans",10,"UniversityofNewOrleans",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"65",34,54,9,625,21,22,20,"louisiana",2016,"louisiana_2016","MasonDixon/FOX8/Raycom",10,"MasonDixon",4,"Strong Dem.","Strong Dem. 2016",8,"MasonDixon",17
"66",38,45,12,800,26,28,24,"louisiana",2016,"louisiana_2016","JMCAnalytics(RFleming)",10,"JMCAnalytics",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"67",36,49,15,644,36,46,26,"louisiana",2016,"louisiana_2016","Ipsos/Reuters",10,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"68",36,51,13,631,43,53,33,"louisiana",2016,"louisiana_2016","Ipsos/Reuters",10,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"69",32,53,4,459,4,7,1,"south-dakota",2016,"south-dakota_2016","SurveyMonkey",11,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"70",27,53,4,298,11,14,8,"south-dakota",2016,"south-dakota_2016","SurveyMonkey",11,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"71",32,52,5,377,18,21,15,"south-dakota",2016,"south-dakota_2016","SurveyMonkey",11,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"72",37,44,12,400,20,21,19,"south-dakota",2016,"south-dakota_2016","MasonDixon",11,"MasonDixon",4,"Strong Dem.","Strong Dem. 2016",8,"MasonDixon",17
"73",48,36,3,415,4,7,1,"rhode-island",2016,"rhode-island_2016","SurveyMonkey",12,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"74",49,36,1,419,11,14,8,"rhode-island",2016,"rhode-island_2016","SurveyMonkey",12,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"75",49,37,3,488,18,21,15,"rhode-island",2016,"rhode-island_2016","SurveyMonkey",12,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"76",35,54,2,1315,4,7,1,"kentucky",2016,"kentucky_2016","SurveyMonkey",13,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"77",38,58,4,651,12,22,2,"kentucky",2016,"kentucky_2016","Ipsos/Reuters",13,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"78",31,58,1,424,11,14,8,"kentucky",2016,"kentucky_2016","SurveyMonkey",13,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"79",32,56,5,811,12,13,11,"kentucky",2016,"kentucky_2016","Cygnal(RunSwitchPR)",13,"Cygnal(RunSwitchPR)",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"80",29,60,1,366,18,21,15,"kentucky",2016,"kentucky_2016","SurveyMonkey",13,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"81",39,53,8,576,36,46,26,"kentucky",2016,"kentucky_2016","Ipsos/Reuters",13,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"82",37,57,6,627,43,53,33,"kentucky",2016,"kentucky_2016","Ipsos/Reuters",13,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"83",50,35,2,1595,4,7,1,"oregon",2016,"oregon_2016","SurveyMonkey",14,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"84",47,37,16,636,12,22,2,"oregon",2016,"oregon_2016","Ipsos/Reuters",14,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"85",51,36,2,743,11,14,8,"oregon",2016,"oregon_2016","SurveyMonkey",14,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"86",41,34,11,504,12,14,10,"oregon",2016,"oregon_2016","DHMResearch/Fox12",14,"DHMResearch",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"87",51,32,3,576,18,21,15,"oregon",2016,"oregon_2016","SurveyMonkey",14,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"88",46,36,4,608,30,35,25,"oregon",2016,"oregon_2016","RileyResearch/KGW/TheOregonian",14,"RileyResearch",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"89",43,36,7,600,29.5,33,26,"oregon",2016,"oregon_2016","DHMResearch/OregonPublicBroadcasting",14,"DHMResearch",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"90",47,37,16,616,36,46,26,"oregon",2016,"oregon_2016","Ipsos/Reuters",14,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"91",48,38,5,654,28,29,27,"oregon",2016,"oregon_2016","SurveyUSA/KATUTV",14,"SurveyUSA",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyUSA",33
"92",51,36,13,626,43,53,33,"oregon",2016,"oregon_2016","Ipsos/Reuters",14,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"93",47,39,8,1248,35,35,35,"oregon",2016,"oregon_2016","GravisMarketing/Breitbart",14,"GravisMarketing",4,"Strong Rep.","Strong Rep. 2016",12,"GravisMarketing",9
"94",32,57,2,1271,4,7,1,"oklahoma",2016,"oklahoma_2016","SurveyMonkey",15,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"95",30,61,9,664,12,22,2,"oklahoma",2016,"oklahoma_2016","Ipsos/Reuters",15,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"96",31,54,2,472,11,14,8,"oklahoma",2016,"oklahoma_2016","SurveyMonkey",15,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"97",32,56,2,493,18,21,15,"oklahoma",2016,"oklahoma_2016","SurveyMonkey",15,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"98",30,60,6,530,20,21,19,"oklahoma",2016,"oklahoma_2016","SoonerPoll.com",15,"SoonerPoll.com",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"99",36,51,13,647,36,46,26,"oklahoma",2016,"oklahoma_2016","Ipsos/Reuters",15,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"100",33,53,14,638,43,53,33,"oklahoma",2016,"oklahoma_2016","Ipsos/Reuters",15,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"101",29,57,2,313,4,7,1,"north-dakota",2016,"north-dakota_2016","SurveyMonkey",16,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"102",31,53,2,279,11,14,8,"north-dakota",2016,"north-dakota_2016","SurveyMonkey",16,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"103",31,49,5,339,18,21,15,"north-dakota",2016,"north-dakota_2016","SurveyMonkey",16,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"104",40,38,2,749,4,7,1,"new-mexico",2016,"new-mexico_2016","SurveyMonkey",17,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"105",41,38,21,275,12,22,2,"new-mexico",2016,"new-mexico_2016","Ipsos/Reuters",17,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"106",45,40,2,504,6,7,5,"new-mexico",2016,"new-mexico_2016","AlbuquerqueJournal/Research&Polling",17,"Research&PollingInc",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"107",46,43,1,1102,6.5,7,6,"new-mexico",2016,"new-mexico_2016","ZiaPoll",17,"ZiaPoll",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"108",39,31,7,567,9,11,7,"new-mexico",2016,"new-mexico_2016","Lucid/TheTimesPicayune",17,"Lucid/TheTimesPicayune",4,"Strong Rep.","Strong Rep. 2016",12,"Lucid/TheTimesPicayune",15
"109",44,34,2,987,11,14,8,"new-mexico",2016,"new-mexico_2016","SurveyMonkey",17,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"110",41,34,2,1095,18,21,15,"new-mexico",2016,"new-mexico_2016","SurveyMonkey",17,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"111",50,39,10,889,27,31,23,"new-mexico",2016,"new-mexico_2016","WashPost/SurveyMonkey",17,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"112",44,36,20,263,36,46,26,"new-mexico",2016,"new-mexico_2016","Ipsos/Reuters",17,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"113",49,36,15,263,43,53,33,"new-mexico",2016,"new-mexico_2016","Ipsos/Reuters",17,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"114",52,35,2,1823,4,7,1,"illinois",2016,"illinois_2016","SurveyMonkey",18,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"115",51,39,10,781,12,22,2,"illinois",2016,"illinois_2016","Ipsos/Reuters",18,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"116",52,35,1,1003,11,14,8,"illinois",2016,"illinois_2016","SurveyMonkey",18,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"117",48,37,10,600,12.5,13,12,"illinois",2016,"illinois_2016","LorasCollege",18,"LorasCollege",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"118",52,34,3,1091,18,21,15,"illinois",2016,"illinois_2016","SurveyMonkey",18,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"119",51,36,5,1200,22,23,21,"illinois",2016,"illinois_2016","VictoryResearch",18,"VictoryResearch",4,"Strong Rep.","Strong Rep. 2016",12,"0_None",1
"120",60,27,13,612,36,46,26,"illinois",2016,"illinois_2016","Ipsos/Reuters",18,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"121",57,31,12,873,43,53,33,"illinois",2016,"illinois_2016","Ipsos/Reuters",18,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"122",29,47,2,612,4,7,1,"idaho",2016,"idaho_2016","SurveyMonkey",19,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"123",33,60,7,322,5.5,9,2,"idaho",2016,"idaho_2016","UPI/CVOTER",19,"UPI/CVOTER",4,"Strong Dem.","Strong Dem. 2016",8,"UPI/CVOTER",37
"124",30,53,17,325,12,22,2,"idaho",2016,"idaho_2016","Ipsos/Reuters",19,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"125",31,49,1,447,11,14,8,"idaho",2016,"idaho_2016","SurveyMonkey",19,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"126",34,61,6,318,13,16,10,"idaho",2016,"idaho_2016","UPI/CVOTER",19,"UPI/CVOTER",4,"Strong Dem.","Strong Dem. 2016",8,"UPI/CVOTER",37
"127",29,48,8,750,15.5,16,15,"idaho",2016,"idaho_2016","Rasmussen/HeatStreet",19,"Rasmussen",4,"Strong Dem.","Strong Dem. 2016",8,"Rasmussen",25
"128",29,50,4,438,18,21,15,"idaho",2016,"idaho_2016","SurveyMonkey",19,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"129",31,54,15,323,36,46,26,"idaho",2016,"idaho_2016","Ipsos/Reuters",19,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"130",31,55,14,320,43,53,33,"idaho",2016,"idaho_2016","Ipsos/Reuters",19,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"131",52,28,4,426,4,7,1,"hawaii",2016,"hawaii_2016","SurveyMonkey",20,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"132",51,32,3,467,11,14,8,"hawaii",2016,"hawaii_2016","SurveyMonkey",20,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"133",49,34,3,459,18,21,15,"hawaii",2016,"hawaii_2016","SurveyMonkey",20,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"134",50,39,3,367,4,7,1,"delaware",2016,"delaware_2016","SurveyMonkey",21,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"135",50,38,4,458,11,14,8,"delaware",2016,"delaware_2016","SurveyMonkey",21,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"136",52,34,2,528,18,21,15,"delaware",2016,"delaware_2016","SurveyMonkey",21,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"137",52,36,3,1387,4,7,1,"connecticut",2016,"connecticut_2016","SurveyMonkey",22,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"138",50,40,10,515,12,22,2,"connecticut",2016,"connecticut_2016","Ipsos/Reuters",22,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"139",51,39,2,554,11,14,8,"connecticut",2016,"connecticut_2016","SurveyMonkey",22,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"140",50,36,2,515,18,21,15,"connecticut",2016,"connecticut_2016","SurveyMonkey",22,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"141",53,36,11,741,36,46,26,"connecticut",2016,"connecticut_2016","Ipsos/Reuters",22,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"142",53,35,12,506,43,53,33,"connecticut",2016,"connecticut_2016","Ipsos/Reuters",22,"Ipsos",4,"Strong Rep.","Strong Rep. 2016",12,"Ipsos",12
"143",32,56,2,930,4,7,1,"arkansas",2016,"arkansas_2016","SurveyMonkey",23,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"144",38,53,9,515,12,22,2,"arkansas",2016,"arkansas_2016","Ipsos/Reuters",23,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"145",39,52,2,484,11,14,8,"arkansas",2016,"arkansas_2016","SurveyMonkey",23,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"146",31,51,18,585,17.5,21,14,"arkansas",2016,"arkansas_2016","UofArkansas",23,"UniversityofArkansas",4,"Strong Dem.","Strong Dem. 2016",8,"0_None",1
"147",33,54,2,498,18,21,15,"arkansas",2016,"arkansas_2016","SurveyMonkey",23,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"148",36,52,12,495,36,46,26,"arkansas",2016,"arkansas_2016","Ipsos/Reuters",23,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"149",38,53,9,475,43,53,33,"arkansas",2016,"arkansas_2016","Ipsos/Reuters",23,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"150",31,48,3,409,4,7,1,"alaska",2016,"alaska_2016","SurveyMonkey",24,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"151",41,53,7,308,5.5,9,2,"alaska",2016,"alaska_2016","UPI/CVOTER",24,"UPI/CVOTER",4,"Strong Dem.","Strong Dem. 2016",8,"UPI/CVOTER",37
