Dem_poll,Rep_poll,Undecided,sample_size,mean_days_to_election,start_days_to_election,end_days_to_election,state,year,state_year,pollster,state_year_id,year_id,result_margin6,rmargin_year,rmargin_year_id,pollster_grp,pollster_id,pid,Dem_vote,Rep_vote,poll_error
33,52,2,461,18,21,15,nebraska,2016,nebraska_2016,SurveyMonkey,3,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,15,33.7,58.75,-0.023713931218782736
33,49,18,386,36,46,26,nebraska,2016,nebraska_2016,Ipsos,3,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,16,33.7,58.75,-0.03791766149137965
32,48,20,356,43,53,33,nebraska,2016,nebraska_2016,Ipsos,3,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,17,33.7,58.75,-0.035478637101135746
30,52,4,449,4,7,1,montana,2016,montana_2016,SurveyMonkey,4,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,18,35.75,56.17,0.023071493769768026
36,49,2,405,11,14,8,montana,2016,montana_2016,SurveyMonkey,4,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,19,35.75,56.17,-0.03460425945835255
35,52,4,475,18,21,15,montana,2016,montana_2016,SurveyMonkey,4,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,20,35.75,56.17,-0.013373698268359213
27,43,20,590,32.5,36,29,montana,2016,montana_2016,MSUBillings,4,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,21,35.75,56.17,0.003210866592067707
51,33,3,1451,4,7,1,washington,2016,washington_2016,SurveyMonkey,5,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,22,52.62,36.89,-0.019275579743683935
51,36,7,402,3,4,2,washington,2016,washington_2016,InsightsWest,5,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,23,52.62,36.89,0.0016603808474490722
47,38,15,863,12,22,2,washington,2016,washington_2016,Ipsos,5,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,24,52.62,36.89,0.034926100928585
50,38,4,681,7,8,6,washington,2016,washington_2016,SurveyUSA,5,4,Strong Rep.,Strong Rep. 2016,12,SurveyUSA,33,25,52.62,36.89,0.01968545921735504
53,34,2,745,11,14,8,washington,2016,washington_2016,SurveyMonkey,5,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,26,52.62,36.89,-0.021328124899677336
51,34,2,687,18,21,15,washington,2016,washington_2016,SurveyMonkey,5,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,27,52.62,36.89,-0.012132722600826762
53,39,22,750,29.5,33,26,washington,2016,washington_2016,UniversityofWashington,5,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,28,52.62,36.89,0.01178032087743408
47,37,16,905,36,46,26,washington,2016,washington_2016,Ipsos,5,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,29,52.62,36.89,0.02834346787536368
51,33,16,504,43,53,33,washington,2016,washington_2016,Ipsos,5,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,30,52.62,36.89,-0.019275579743683935
42,50,2,719,4,7,1,mississippi,2016,mississippi_2016,SurveyMonkey,6,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,31,40.06,57.86,-0.047412262006251815
36,53,11,388,12,22,2,mississippi,2016,mississippi_2016,Ipsos,6,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,32,40.06,57.86,0.0046150951017110975
41,48,3,648,11,14,8,mississippi,2016,mississippi_2016,SurveyMonkey,6,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,33,40.06,57.86,-0.051564680179187805
42,50,2,704,18,21,15,mississippi,2016,mississippi_2016,SurveyMonkey,6,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,34,40.06,57.86,-0.047412262006251815
41,49,10,404,36,46,26,mississippi,2016,mississippi_2016,Ipsos,6,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,35,40.06,57.86,-0.046446078431372606
40,51,9,405,43,53,33,mississippi,2016,mississippi_2016,Ipsos,6,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,36,40.06,57.86,-0.030450962436256557
61,25,2,454,4,7,1,vermont,2016,vermont_2016,SurveyMonkey,7,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,37,56.68,30.27,-0.057433435414632805
62,33,5,305,5.5,9,2,vermont,2016,vermont_2016,UPI/CVOTER,7,4,Strong Rep.,Strong Rep. 2016,12,UPI/CVOTER,37,38,56.68,30.27,-7.626887806058691e-4
53,25,4,436,11,14,8,vermont,2016,vermont_2016,SurveyMonkey,7,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,39,56.68,30.27,-0.027618289320416933
63,34,4,304,13,16,10,vermont,2016,vermont_2016,UPI/CVOTER,7,4,Strong Rep.,Strong Rep. 2016,12,UPI/CVOTER,37,40,56.68,30.27,0.002384354084288276
54,23,3,446,18,21,15,vermont,2016,vermont_2016,SurveyMonkey,7,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,41,56.68,30.27,-0.04942981113193878
45,17,14,579,32.5,40,25,vermont,2016,vermont_2016,CastletonUniversity/VPR,7,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,42,56.68,30.27,-0.07393756144614072
56,30,4,1378,4,7,1,massachusetts,2016,massachusetts_2016,SurveyMonkey,8,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,43,60.01,32.81,-0.004642644177527966
53,36,11,512,12,22,2,massachusetts,2016,massachusetts_2016,Ipsos,8,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,44,60.01,32.81,0.05101452854261834
56,26,7,417,11,16,6,massachusetts,2016,massachusetts_2016,WNEU,8,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,45,60.01,32.81,-0.036406682748146235
58,29,2,796,11,14,8,massachusetts,2016,massachusetts_2016,SurveyMonkey,8,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,46,60.01,32.81,-0.02014652014652024
57,25,12,500,14,15,13,massachusetts,2016,massachusetts_2016,SuffolkUniversity,8,4,Strong Rep.,Strong Rep. 2016,12,SuffolkUniversity,31,47,60.01,32.81,-0.04860180469936576
61,28,2,675,18,21,15,massachusetts,2016,massachusetts_2016,SurveyMonkey,8,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,48,60.01,32.81,-0.03887311190681986
54,28,6,502,24.5,26,23,massachusetts,2016,massachusetts_2016,MassINC/WBUR,8,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,49,60.01,32.81,-0.012016438845707189
49,30,21,904,43,53,33,massachusetts,2016,massachusetts_2016,Ipsos,8,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,50,60.01,32.81,0.026266981963184444
41,49,2,1433,4,7,1,tennessee,2016,tennessee_2016,SurveyMonkey,9,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,51,34.72,60.72,-0.09176678774331759
36,50,14,823,12,22,2,tennessee,2016,tennessee_2016,Ipsos,9,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,52,34.72,60.72,-0.05481588335055265
38,51,2,550,11,14,8,tennessee,2016,tennessee_2016,SurveyMonkey,9,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,53,34.72,60.72,-0.06317752432259349
38,49,4,572,18,21,15,tennessee,2016,tennessee_2016,SurveyMonkey,9,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,54,34.72,60.72,-0.07299284138316431
34,44,8,508,23.5,25,22,tennessee,2016,tennessee_2016,ICITIZEN,9,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,55,34.72,60.72,-0.07210866808519789
35,47,18,799,36,46,26,tennessee,2016,tennessee_2016,Ipsos,9,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,56,34.72,60.72,-0.06304050048044496
34,49,17,800,43,53,33,tennessee,2016,tennessee_2016,Ipsos,9,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,57,34.72,60.72,-0.045849786404629445
38,52,4,982,4,7,1,louisiana,2016,louisiana_2016,SurveyMonkey,10,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,58,38.45,58.09,-0.02394171673226997
36,52,12,633,12,22,2,louisiana,2016,louisiana_2016,Ipsos,10,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,59,38.45,58.09,-0.010810403600956753
38,51,4,423,11,14,8,louisiana,2016,louisiana_2016,SurveyMonkey,10,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,60,38.45,58.09,-0.028685786644879196
38,53,1,388,18,21,15,louisiana,2016,louisiana_2016,SurveyMonkey,10,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,61,38.45,58.09,-0.019301912092465234
35,50,8,500,19,20,18,louisiana,2016,louisiana_2016,SouthernMedia/OpinionResearch,10,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,62,38.45,58.09,-0.013484200392400614
40,43,7,614,21,24,18,louisiana,2016,louisiana_2016,Lucid/TheTimesPicayune,10,4,Strong Dem.,Strong Dem. 2016,8,Lucid/TheTimesPicayune,15,63,38.45,58.09,-0.08364720535342118
35,49,6,603,21,24,18,louisiana,2016,louisiana_2016,UniversityofNewOrleans,10,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,64,38.45,58.09,-0.018386161176714322
34,54,9,625,21,22,20,louisiana,2016,louisiana_2016,MasonDixon,10,4,Strong Dem.,Strong Dem. 2016,8,MasonDixon,17,65,38.45,58.09,0.011916869126315954
38,45,12,800,26,28,24,louisiana,2016,louisiana_2016,JMCAnalytics,10,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,66,38.45,58.09,-0.05955081981125254
36,49,15,644,36,46,26,louisiana,2016,louisiana_2016,Ipsos,10,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,67,38.45,58.09,-0.025248906274753624
36,51,13,631,43,53,33,louisiana,2016,louisiana_2016,Ipsos,10,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,68,38.45,58.09,-0.015512597958323604
32,53,4,459,4,7,1,south-dakota,2016,south-dakota_2016,SurveyMonkey,11,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,69,31.74,61.53,-0.03616824021342213
27,53,4,298,11,14,8,south-dakota,2016,south-dakota_2016,SurveyMonkey,11,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,70,31.74,61.53,0.0028023480218719587
32,52,5,377,18,21,15,south-dakota,2016,south-dakota_2016,SurveyMonkey,11,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,71,31.74,61.53,-0.04065003293050895
37,44,12,400,20,21,19,south-dakota,2016,south-dakota_2016,MasonDixon,11,4,Strong Dem.,Strong Dem. 2016,8,MasonDixon,17,72,31.74,61.53,-0.11648777543491817
48,36,3,415,4,7,1,rhode-island,2016,rhode-island_2016,SurveyMonkey,12,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,73,54.41,38.9,0.011681491801521837
49,36,1,419,11,14,8,rhode-island,2016,rhode-island_2016,SurveyMonkey,12,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,74,54.41,38.9,0.006639474994799166
49,37,3,488,18,21,15,rhode-island,2016,rhode-island_2016,SurveyMonkey,12,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,75,54.41,38.9,0.01334262136962816
35,54,2,1315,4,7,1,kentucky,2016,kentucky_2016,SurveyMonkey,13,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,76,32.68,62.52,-0.04998111604192235
38,58,4,651,12,22,2,kentucky,2016,kentucky_2016,Ipsos,13,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,77,32.68,62.52,-0.05255602240896362
31,58,1,424,11,14,8,kentucky,2016,kentucky_2016,SurveyMonkey,13,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,78,32.68,62.52,-0.005037295817203247
32,56,5,811,12,13,11,kentucky,2016,kentucky_2016,Cygnal(RunSwitchPR),13,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,79,32.68,62.52,-0.020359052711993897
29,60,1,366,18,21,15,kentucky,2016,kentucky_2016,SurveyMonkey,13,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,80,32.68,62.52,0.017434614295156248
39,53,8,576,36,46,26,kentucky,2016,kentucky_2016,Ipsos,13,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,81,32.68,62.52,-0.08063573255389112
37,57,6,627,43,53,33,kentucky,2016,kentucky_2016,Ipsos,13,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,82,32.68,62.52,-0.05033971035222595
50,35,2,1595,4,7,1,oregon,2016,oregon_2016,SurveyMonkey,14,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,83,50.07,39.09,-0.02666059694402667
47,37,16,636,12,22,2,oregon,2016,oregon_2016,Ipsos,14,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,84,50.07,39.09,0.002050887649810873
51,36,2,743,11,14,8,oregon,2016,oregon_2016,SurveyMonkey,14,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,85,50.07,39.09,-0.024632199378103736
41,34,11,504,12,14,10,oregon,2016,oregon_2016,DHMResearch,14,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,86,50.07,39.09,0.014908030506953718
51,32,3,576,18,21,15,oregon,2016,oregon_2016,SurveyMonkey,14,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,87,50.07,39.09,-0.05288313415168078
46,36,4,608,30,35,25,oregon,2016,oregon_2016,RileyResearch,14,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,88,50.07,39.09,5.990874175228478e-4
43,36,7,600,29.5,33,26,oregon,2016,oregon_2016,DHMResearch,14,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,89,50.07,39.09,0.017270899705265963
47,37,16,616,36,46,26,oregon,2016,oregon_2016,Ipsos,14,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,90,50.07,39.09,0.002050887649810873
48,38,5,654,28,29,27,oregon,2016,oregon_2016,SurveyUSA,14,4,Strong Rep.,Strong Rep. 2016,12,SurveyUSA,33,91,50.07,39.09,0.003435162289899485
51,36,13,626,43,53,33,oregon,2016,oregon_2016,Ipsos,14,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,92,50.07,39.09,-0.024632199378103736
47,39,8,1248,35,35,35,oregon,2016,oregon_2016,GravisMarketing,14,4,Strong Rep.,Strong Rep. 2016,12,GravisMarketing,9,93,50.07,39.09,0.015063069266643636
32,57,2,1271,4,7,1,oklahoma,2016,oklahoma_2016,SurveyMonkey,15,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,94,28.93,65.32,-0.05260095967573686
30,61,9,664,12,22,2,oklahoma,2016,oklahoma_2016,Ipsos,15,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,95,28.93,65.32,-0.02272072754831378
31,54,2,472,11,14,8,oklahoma,2016,oklahoma_2016,SurveyMonkey,15,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,96,28.93,65.32,-0.05775628023092527
32,56,2,493,18,21,15,oklahoma,2016,oklahoma_2016,SurveyMonkey,15,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,97,28.93,65.32,-0.056686761514347705
30,60,6,530,20,21,19,oklahoma,2016,oklahoma_2016,SoonerPoll.com,15,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,98,28.93,65.32,-0.02638373121131743
36,51,13,647,36,46,26,oklahoma,2016,oklahoma_2016,Ipsos,15,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,99,28.93,65.32,-0.10684350132625997
33,53,14,638,43,53,33,oklahoma,2016,oklahoma_2016,Ipsos,15,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,100,28.93,65.32,-0.07677132811054221
29,57,2,313,4,7,1,north-dakota,2016,north-dakota_2016,SurveyMonkey,16,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,101,27.23,62.96,-0.035291129579157254
31,53,2,279,11,14,8,north-dakota,2016,north-dakota_2016,SurveyMonkey,16,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,102,27.23,62.96,-0.06712944630119488
31,49,5,339,18,21,15,north-dakota,2016,north-dakota_2016,SurveyMonkey,16,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,103,27.23,62.96,-0.08558182725357577
40,38,2,749,4,7,1,new-mexico,2016,new-mexico_2016,SurveyMonkey,17,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,104,48.26,40.04,0.03372535354415307
41,38,21,275,12,22,2,new-mexico,2016,new-mexico_2016,Ipsos,17,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,105,48.26,40.04,0.02755852459251401
45,40,2,504,6,7,5,new-mexico,2016,new-mexico_2016,Research&PollingInc,17,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,106,48.26,40.04,0.01713410165878354
46,43,1,1102,6.5,7,6,new-mexico,2016,new-mexico_2016,ZiaPoll,17,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,107,48.26,40.04,0.02969193378039625
39,31,7,567,9,11,7,new-mexico,2016,new-mexico_2016,Lucid/TheTimesPicayune,17,4,Strong Rep.,Strong Rep. 2016,12,Lucid/TheTimesPicayune,15,108,48.26,40.04,-0.010596990778191262
44,34,2,987,11,14,8,new-mexico,2016,new-mexico_2016,SurveyMonkey,17,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,109,48.26,40.04,-0.017556697737898197
41,34,2,1095,18,21,15,new-mexico,2016,new-mexico_2016,SurveyMonkey,17,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,110,48.26,40.04,-1.2080030200078973e-4
50,39,10,889,27,31,23,new-mexico,2016,new-mexico_2016,SurveyMonkey,17,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,111,48.26,40.04,-0.015251886444322849
44,36,20,263,36,46,26,new-mexico,2016,new-mexico_2016,Ipsos,17,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,112,48.26,40.04,-0.003454133635334089
49,36,15,263,43,53,33,new-mexico,2016,new-mexico_2016,Ipsos,17,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,113,48.26,40.04,-0.029924721870628224
52,35,2,1823,4,7,1,illinois,2016,illinois_2016,SurveyMonkey,18,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,114,55.47,38.51,-0.007469185177575111
51,39,10,781,12,22,2,illinois,2016,illinois_2016,Ipsos,18,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,115,55.47,38.51,0.023565297581045586
52,35,1,1003,11,14,8,illinois,2016,illinois_2016,SurveyMonkey,18,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,116,55.47,38.51,-0.007469185177575111
48,37,10,600,12.5,13,12,illinois,2016,illinois_2016,LorasCollege,18,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,117,55.47,38.51,0.02552608189477107
52,34,3,1091,18,21,15,illinois,2016,illinois_2016,SurveyMonkey,18,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,118,55.47,38.51,-0.014419198542985456
51,36,5,1200,22,23,21,illinois,2016,illinois_2016,VictoryResearch,18,4,Strong Rep.,Strong Rep. 2016,12,0_None,1,119,55.47,38.51,0.004025067695988094
60,27,13,612,36,46,26,illinois,2016,illinois_2016,Ipsos,18,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,120,55.47,38.51,-0.09942320816608086
57,31,12,873,43,53,33,illinois,2016,illinois_2016,Ipsos,18,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,121,55.47,38.51,-0.05749530847956047
29,47,2,612,4,7,1,idaho,2016,idaho_2016,SurveyMonkey,19,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,122,27.48,59.25,-0.0647335651477361
33,60,7,322,5.5,9,2,idaho,2016,idaho_2016,UPI/CVOTER,19,4,Strong Dem.,Strong Dem. 2016,8,UPI/CVOTER,37,123,27.48,59.25,-0.03799332745673445
30,53,17,325,12,22,2,idaho,2016,idaho_2016,Ipsos,19,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,124,27.48,59.25,-0.04460040091184525
31,49,1,447,11,14,8,idaho,2016,idaho_2016,SurveyMonkey,19,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,125,27.48,59.25,-0.07065461777931503
34,61,6,318,13,16,10,idaho,2016,idaho_2016,UPI/CVOTER,19,4,Strong Dem.,Strong Dem. 2016,8,UPI/CVOTER,37,126,27.48,59.25,-0.04104935462142034
29,48,8,750,15.5,16,15,idaho,2016,idaho_2016,Rasmussen,19,4,Strong Dem.,Strong Dem. 2016,8,Rasmussen,25,127,27.48,59.25,-0.059777994402691714
29,50,4,438,18,21,15,idaho,2016,idaho_2016,SurveyMonkey,19,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,128,27.48,59.25,-0.05024322537425174
31,54,15,323,36,46,26,idaho,2016,idaho_2016,Ipsos,19,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,129,27.48,59.25,-0.04786050013225629
31,55,14,320,43,53,33,idaho,2016,idaho_2016,Ipsos,19,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,130,27.48,59.25,-0.04361973405838482
52,28,4,426,4,7,1,hawaii,2016,hawaii_2016,SurveyMonkey,20,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,131,62.22,30.04,0.02439843919358331
51,32,3,467,11,14,8,hawaii,2016,hawaii_2016,SurveyMonkey,20,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,132,62.22,30.04,0.05994060786828215
49,34,3,459,18,21,15,hawaii,2016,hawaii_2016,SurveyMonkey,20,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,133,62.22,30.04,0.08403699341045079
50,39,3,367,4,7,1,delaware,2016,delaware_2016,SurveyMonkey,21,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,134,53.35,41.92,-0.0018103485894022664
50,38,4,458,11,14,8,delaware,2016,delaware_2016,SurveyMonkey,21,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,135,53.35,41.92,-0.008194413962231695
52,34,2,528,18,21,15,delaware,2016,delaware_2016,SurveyMonkey,21,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,136,53.35,41.92,-0.04466375857111121
52,36,3,1387,4,7,1,connecticut,2016,connecticut_2016,SurveyMonkey,22,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,137,54.57,40.93,-0.019495478343645845
50,40,10,515,12,22,2,connecticut,2016,connecticut_2016,Ipsos,22,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,138,54.57,40.93,0.01585805700988946
51,39,2,554,11,14,8,connecticut,2016,connecticut_2016,SurveyMonkey,22,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,139,54.57,40.93,0.0047469458987783875
50,36,2,515,18,21,15,connecticut,2016,connecticut_2016,SurveyMonkey,22,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,140,54.57,40.93,-0.009981736271764241
53,36,11,741,36,46,26,connecticut,2016,connecticut_2016,Ipsos,22,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,141,54.57,40.93,-0.024092005412083062
53,35,12,506,43,53,33,connecticut,2016,connecticut_2016,Ipsos,22,4,Strong Rep.,Strong Rep. 2016,12,Ipsos,12,142,54.57,40.93,-0.030859114707282254
32,56,2,930,4,7,1,arkansas,2016,arkansas_2016,SurveyMonkey,23,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,143,33.65,60.57,-0.006493506493506551
38,53,9,515,12,22,2,arkansas,2016,arkansas_2016,Ipsos,23,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,144,33.65,60.57,-0.06043956043956045
39,52,2,484,11,14,8,arkansas,2016,arkansas_2016,SurveyMonkey,23,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,145,33.65,60.57,-0.07142857142857151
31,51,18,585,17.5,21,14,arkansas,2016,arkansas_2016,UniversityofArkansas,23,4,Strong Dem.,Strong Dem. 2016,8,0_None,1,146,33.65,60.57,-0.020905923344947785
33,54,2,498,18,21,15,arkansas,2016,arkansas_2016,SurveyMonkey,23,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,147,33.65,60.57,-0.022167487684729092
36,52,12,495,36,46,26,arkansas,2016,arkansas_2016,Ipsos,23,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,148,33.65,60.57,-0.051948051948051965
